grupo,clave,valor,etiqueta,descripcion_es,enlace_wiki
Servicios y equipamientos,amenity,restaurant,amenity=restaurant,Restaurante,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Drestaurant
Servicios y equipamientos,amenity,cafe,amenity=cafe,Cafetería,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcafe
Servicios y equipamientos,amenity,fast_food,amenity=fast_food,Comida rápida,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfast_food
Servicios y equipamientos,amenity,bar,amenity=bar,Bar,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbar
Servicios y equipamientos,amenity,pub,amenity=pub,Pub / cervecería,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpub
Servicios y equipamientos,amenity,food_court,amenity=food_court,Plaza de comidas (food court),https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfood_court
Servicios y equipamientos,amenity,ice_cream,amenity=ice_cream,Heladería,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dice_cream
Servicios y equipamientos,amenity,biergarten,amenity=biergarten,Jardín de cerveza,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbiergarten
Servicios y equipamientos,amenity,bank,amenity=bank,Banco,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbank
Servicios y equipamientos,amenity,atm,amenity=atm,Cajero automático,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Datm
Servicios y equipamientos,amenity,bureau_de_change,amenity=bureau_de_change,Casa de cambio,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbureau_de_change
Servicios y equipamientos,amenity,money_transfer,amenity=money_transfer,Envío de remesas / transferencia de dinero,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dmoney_transfer
Servicios y equipamientos,amenity,payment_centre,amenity=payment_centre,Centro de pagos,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpayment_centre
Servicios y equipamientos,amenity,pharmacy,amenity=pharmacy,Farmacia,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpharmacy
Servicios y equipamientos,amenity,hospital,amenity=hospital,Hospital,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dhospital
